qid	axis	type	kind	optionId	key	score	en	ru	es	fr	ar
Q040	JP	wordselect	option	b	P	0	is burdensome, even when necessary	тягостно, даже когда это необходимо.	es pesado, incluso cuando es necesario	est pénible, même quand c'est nécessaire	مرهق حتى عندما يكون ضرورياً
Q041	EI	wordselect	question				When something becomes fashionable, you usually:	Когда что-то входит в моду, Вы обычно:	Cuando algo se pone de moda, usted generalmente:	Quand quelque chose devient à la mode, vous avez généralement tendance à :	عندما يصبح شيء ما رائجاً، عادةً أنت:
Q041	EI	wordselect	option	a	E	0	are among the first to try it	одним из первых испробуете это	es uno de los primeros en probarlo	êtes parmi les premiers à l'essayer	تكون من أوائل من يجربه
Q041	EI	wordselect	option	b	I	2	have little interest in it	мало этим интересуетесь.	tiene poco interés en ello	vous y intéressez peu	اهتمامك به ضئيل
Q042	SN	wordselect	question				You would rather:	Вы скорее:	Usted más bien:	Vous avez plutôt tendance à :	أنت أميل إلى:
Q042	SN	wordselect	option	a	S	2	stick to established methods in your work	придерживаетесь общепринятых методов в работе	se adhiere a los métodos establecidos en su trabajo	vous en tenez aux méthodes établies dans votre travail	تلتزم بالأساليب المعتمدة في عملك
Q042	SN	wordselect	option	b	N	0	look for what is still wrong and tackle unresolved problems	ищете, что еще неверно, и беретесь за неразрешенные проблемы.	busca qué está mal aún y se ocupa de los problemas sin resolver	cherchez ce qui ne va pas encore et vous attaquez aux problèmes non résolus	تبحث عما هو خاطئ وتتعامل مع المشكلات غير المحلولة
Q043	TF	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q043	TF	wordselect	option	a	T	1	to analyze	анализировать	analizar	analyser	تحليل
Q043	TF	wordselect	option	b	F	2	to empathize	сопереживать.	empatizar	empathiser	التعاطف
Q044	PJ	wordselect	question				When you think about a minor task you need to do or a small thing to buy, you:	Когда Вы думаете о том, что надо сделать какое-то не очень важное дело или купить какую-то мелкую вещь, Вы:	Cuando piensa en una tarea menor que debe hacer o en algo pequeño que comprar, usted:	Quand vous pensez à une tâche mineure à accomplir ou à un petit achat à faire, vous :	عندما تفكر في مهمة بسيطة تحتاج إلى إنجازها أو شيء صغير للشراء، أنت:
Q044	PJ	wordselect	option	a	P	1	often forget about it and remember too late	часто забываете об этом и вспоминаете слишком поздно	a menudo lo olvida y lo recuerda demasiado tarde	l'oubliez souvent et vous en souvenez trop tard	كثيراً ما تنساه وتتذكره في وقت متأخر
Q044	PJ	wordselect	option	b	J	1	write it down on paper so as not to forget	записываете это на бумаге, чтобы не забыть	lo anota en papel para no olvidarlo	le notez sur papier pour ne pas l'oublier	تكتبه على ورقة حتى لا تنساه
Q044	PJ	wordselect	option	c			always do it without additional reminders	всегда выполняете это без дополнительных напоминаний.	siempre lo hace sin recordatorios adicionales	le faites toujours sans rappels supplémentaires	دائماً تنجزه دون تذكيرات إضافية
Q045	EI	wordselect	question				Finding out what kind of person you are:	Узнать, что Вы за человек:	Descubrir qué tipo de persona es usted:	Découvrir quel type de personne vous êtes :	معرفة نوع الشخص الذي أنت عليه:
Q045	EI	wordselect	option	a	E	1	quite easily	довольно легко	con bastante facilidad	assez facilement	بسهولة كافية
Q045	EI	wordselect	option	b	I	2	quite difficult	довольно трудно.	bastante difícil	assez difficile	صعب إلى حد ما
Q046	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q046	SN	wordselect	option	a	S	2	facts	факты	hechos	faits	حقائق
Q046	SN	wordselect	option	b	N	1	ideas	идеи.	ideas	idées	أفكار
Q047	TF	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q047	TF	wordselect	option	a	T	1	justice	справедливость	justicia	justice	عدالة
Q047	TF	wordselect	option	b	F	2	compassion	сочувствие.	compasión	compassion	تعاطف
Q048	PJ	wordselect	question				It is harder for you to adapt to:	Вам труднее приспособиться:	Le resulta más difícil adaptarse:	Il vous est plus difficile de vous adapter :	من الصعب عليك التأقلم مع:
Q048	PJ	wordselect	option	a	P	1	to monotony	к однообразию	a la monotonía	à la monotonie	الرتابة
Q048	PJ	wordselect	option	b	J	1	to constant change	к постоянным переменам.	a los cambios constantes	aux changements constants	التغيير المستمر
Q049	E	wordselect	question				When you find yourself in an awkward situation, you usually:	Оказавшись в затруднительной ситуации, Вы обычно:	Cuando se encuentra en una situación difícil, usted generalmente:	Quand vous vous trouvez dans une situation embarrassante, vous avez généralement tendance à :	عند وجودك في موقف محرج، عادةً أنت:
Q049	E	wordselect	option	a			change the subject	переводите разговор на другое	cambia el tema de conversación	détournez la conversation	تحوّل الحديث إلى موضوع آخر
Q049	E	wordselect	option	b	E	1	turn everything into a joke	обращаете все в шутку	convierte todo en una broma	tournez tout en plaisanterie	تحوّل كل شيء إلى نكتة
Q049	E	wordselect	option	c	I	2	think a few days later about what you should have said	спустя несколько дней думаете, что Вам следовало сказать.	piensa unos días después en lo que debería haber dicho	pensez quelques jours plus tard à ce que vous auriez dû dire	تفكر بعد أيام فيما كان ينبغي لك قوله
Q050	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q050	SN	wordselect	option	a	S	2	statement	утверждение	afirmación	affirmation	تأكيد
Q050	SN	wordselect	option	b	N	1	idea	идея.	idea	idée	فكرة
Q051	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q051	FT	wordselect	option	a	F	1	compassion	сочувствие	compasión	compassion	تعاطف
Q051	FT	wordselect	option	b	T	2	calculation	расчетливость.	cálculo	calcul	حسابية
Q052	JP	wordselect	question				When you start a big project that will take a week, you:	Когда Вы начинаете какое-то большое дело, которое займет у Вас неделю, Вы:	Cuando comienza un gran proyecto que le llevará una semana, usted:	Quand vous commencez un grand projet qui vous prendra une semaine, vous :	عند بدء مشروع كبير سيستغرق منك أسبوعاً، أنت:
Q052	JP	wordselect	option	a	J	2	first make a list of what needs to be done and in what order	составляете сначала список того, что нужно сделать и в каком порядке	primero hace una lista de lo que hay que hacer y en qué orden	commencez par faire une liste de ce qui doit être fait et dans quel ordre	أولاً تضع قائمة بما يجب القيام به وبأي ترتيب
Q052	JP	wordselect	option	b	P	1	get straight to work	сразу беретесь за работу.	se pone a trabajar de inmediato	vous mettez immédiatement au travail	تبدأ العمل فوراً
Q053	EI	wordselect	question				You think your close ones know your thoughts:	Вы считаете, что Вашим близким известны Ваши мысли:	Cree que sus seres queridos conocen sus pensamientos:	Vous pensez que vos proches connaissent vos pensées :	تعتقد أن المقربين منك يعرفون أفكارك:
Q053	EI	wordselect	option	a	E	1	well enough	достаточно хорошо	bastante bien	assez bien	جيداً بما يكفي
Q053	EI	wordselect	option	b	I	1	only when you deliberately tell them	лишь тогда, когда Вы намеренно сообщаете о них.	solo cuando usted se los comunica deliberadamente	seulement quand vous le leur dites délibérément	فقط عندما تخبرهم بها عن قصد
Q054	NS	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q054	NS	wordselect	option	a	N	2	theory	теория	teoría	théorie	نظرية
Q054	NS	wordselect	option	b	S	1	fact	факт.	hecho	fait	حقيقة
Q055	TF	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q055	TF	wordselect	option	a	T	1	benefit	выгода	beneficio	bénéfice	فائدة
Q055	TF	wordselect	option	b	F	1	good deed	благодеяние.	buena acción	bonne action	عمل خير
Q056	PJ	wordselect	question				When doing a job, you usually:	Выполняя какую-либо работу, Вы обычно:	Al realizar un trabajo, usted generalmente:	Quand vous effectuez un travail, vous avez généralement tendance à :	عند القيام بعمل ما، عادةً أنت:
Q056	PJ	wordselect	option	a	P	1	plan your work so as to finish with time to spare	планируете работу таким образом, чтобы закончить с запасом времени	planifica su trabajo para terminar con tiempo de sobra	planifiez votre travail de façon à terminer avec du temps en avance	تخطط لعملك لإنهائه قبل الموعد المحدد
Q056	PJ	wordselect	option	b	J	0	work at your highest productivity at the last moment	в последний момент работаете с наивысшей производительностью.	trabaja con su mayor productividad en el último momento	travaillez avec votre plus haute productivité au dernier moment	تعمل بأعلى إنتاجية في اللحظة الأخيرة
Q057	EI	wordselect	question				At a party, you prefer:	Будучи на вечеринке, Вы предпочитаете:	En una fiesta, usted prefiere:	À une soirée, vous préférez :	في حفلة، تفضل:
Q057	EI	wordselect	option	a	E	1	actively participate in how things unfold	активно участвовать в развитии событий	participar activamente en el desarrollo de los eventos	participer activement au déroulement des événements	المشاركة الفعّالة في تطور الأحداث
Q057	EI	wordselect	option	b	I	2	let others have fun in their own way	предоставляете другим развлекаться, как им хочется.	deja que los demás se diviertan como quieran	laissez les autres s'amuser comme ils le souhaitent	تترك للآخرين حرية الاستمتاع كما يشاؤون
Q058	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q058	SN	wordselect	option	a	S	1	literal	буквальный	literal	littéral	حرفي
Q058	SN	wordselect	option	b	N	1	figurative	фигуральный.	figurado	figuré	مجازي
Q059	TF	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q059	TF	wordselect	option	a	T	1	decisive	решительный	decidido	décisif	حازم
Q059	TF	wordselect	option	b	F	2	devoted	преданный.	leal	dévoué	مخلص
Q060	JP	wordselect	question				If asked on a weekend morning what you plan to do during the day, you:	Если в выходной утром Вас спросят, что Вы собираетесь сделать в течение дня, Вы:	Si le preguntan por la mañana de un día libre qué planea hacer durante el día, usted:	Si on vous demande un matin de week-end ce que vous comptez faire dans la journée, vous :	إذا سُئلت صباح يوم عطلة عما تخطط للقيام به خلال اليوم، أنت:
Q060	JP	wordselect	option	a	J	0	can answer fairly accurately	сможете довольно точно ответить	puede responder con bastante precisión	pouvez répondre assez précisément	يمكنك الإجابة بدقة معقولة
Q060	JP	wordselect	option	b	P	1	will list twice as many things as you can actually do	перечислите вдвое больше дел, чем сможете сделать	enumerará el doble de cosas de las que realmente puede hacer	enumérerez deux fois plus de choses que vous ne pouvez en faire	ستعدد ضعف ما يمكنك القيام به فعلاً
Q060	JP	wordselect	option	c			prefer not to plan in advance	предпочтете не загадывать заранее.	prefiere no planificar con antelación	préférez ne pas planifier à l'avance	تفضل عدم التخطيط مسبقاً
Q061	EI	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q061	EI	wordselect	option	a	E	1	energetic	энергичный	enérgico	énergique	نشيط
Q061	EI	wordselect	option	b	I	2	calm	спокойный.	tranquilo	calme	هادئ
Q062	NS	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q062	NS	wordselect	option	a	N	0	figurative	образный	figurativo	imagé	مجازي
Q062	NS	wordselect	option	b	S	2	ordinary	прозаичный.	prosaico	prosaïque	مباشر
Q063	TF	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q063	TF	wordselect	option	a	T	2	unyielding	неуступчивый	inflexible	inflexible	متصلب
Q063	TF	wordselect	option	b	F	0	kindhearted	добросердечный.	bondadoso	bienveillant	طيب القلب
Q064	JP	wordselect	question				The monotony of daily tasks seems to you:	Однообразие повседневных дел кажется Вам:	La monotonía de las tareas diarias le parece:	La monotonie des tâches quotidiennes vous semble :	يبدو لك رتابة المهام اليومية:
Q064	JP	wordselect	option	a	J	1	calm	спокойным	tranquilo	calme	هادئاً
Q064	JP	wordselect	option	b	P	0	tiring	утомительным.	agotador	épuisant	مُرهقاً
Q065	IE	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q065	IE	wordselect	option	a	I	1	reserved	сдержанный	reservado	réservé	متحفظ
Q065	IE	wordselect	option	b	E	2	talkative	разговорчивый.	hablador	bavard	ثرثار
Q066	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q066	SN	wordselect	option	a	S	2	to produce	производить	producir	produire	إنتاج
Q066	SN	wordselect	option	b	N	0	to create	создавать.	crear	créer	خلق
Q067	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q067	FT	wordselect	option	a	F	0	peacemaker	миротворец	pacificador	pacificateur	صانع سلام
Q067	FT	wordselect	option	b	T	2	judge	судья.	juez	juge	قاضٍ
Q068	JP	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q068	JP	wordselect	option	a	J	2	scheduled	запланированный	planificado	planifié	مخطط له
Q068	JP	wordselect	option	b	P	2	unplanned	внеплановый.	no planificado	imprévu	غير مخطط له
Q069	IE	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q069	IE	wordselect	option	a	I	1	calm	спокойный	tranquilo	calme	هادئ
Q069	IE	wordselect	option	b	E	1	lively	оживленный.	animado	animé	نشيط
Q070	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q070	SN	wordselect	option	a	S	2	prudent	благоразумный	prudente	prudent	حكيم
Q070	SN	wordselect	option	b	N	0	charming	очаровательный.	encantador	charmant	ساحر
Q071	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q071	FT	wordselect	option	a	F	0	gentle	мягкий	suave	doux	لطيف
Q071	FT	wordselect	option	b	T	2	firm	твердый.	firme	ferme	صارم
Q072	JP	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q072	JP	wordselect	option	a	J	2	methodical	методичный	metódico	méthodique	منهجي
Q072	JP	wordselect	option	b	P	2	spontaneous	спонтанный.	espontáneo	spontané	عفوي
Q073	EI	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q073	EI	wordselect	option	a	E	0	to speak	говорить	hablar	parler	التحدث
Q073	EI	wordselect	option	b	I	1	to write	писать.	escribir	écrire	الكتابة
Q074	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q074	SN	wordselect	option	a	S	1	production	производство	producción	production	إنتاج
Q074	SN	wordselect	option	b	N	1	planning	планирование.	planificación	planification	تخطيط
Q075	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q075	FT	wordselect	option	a	F	0	to forgive	прощать	perdonar	pardonner	المسامحة
Q075	FT	wordselect	option	b	T	2	to permit	дозволять.	permitir	permettre	السماح
Q076	JP	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q076	JP	wordselect	option	a	J	2	systematic	систематический	sistemático	systématique	منهجي
Q076	JP	wordselect	option	b	P	2	random	случайный.	aleatorio	aléatoire	عشوائي
Q077	EI	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q077	EI	wordselect	option	a	E	1	sociable	общительный	sociable	sociable	اجتماعي
Q077	EI	wordselect	option	b	I	1	withdrawn	замкнутый.	introvertido	renfermé	منطوٍ
Q078	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q078	SN	wordselect	option	a	S	1	concrete	конкретный	concreto	concret	ملموس
Q078	SN	wordselect	option	b	N	2	abstract	абстрактный.	abstracto	abstrait	مجرد
Q079	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q079	FT	wordselect	option	a	F	0	who	кто	quién	qui	من
Q079	FT	wordselect	option	b	T	1	what	что.	qué	quoi	ماذا
Q080	PJ	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q080	PJ	wordselect	option	a	P	2	impulse	импульс	impulso	impulsion	دافع
Q080	PJ	wordselect	option	b	J	1	decision	решение.	decisión	décision	قرار
Q081	EI	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q081	EI	wordselect	option	a	E	1	party	вечеринка	fiesta	soirée	حفلة
Q081	EI	wordselect	option	b	I	0	theater	театр.	teatro	théâtre	مسرح
Q082	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q082	SN	wordselect	option	a	S	2	to build	сооружать	construir	construire	بناء
Q082	SN	wordselect	option	b	N	1	to invent	изобретать.	inventar	inventer	اختراع
Q083	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q083	FT	wordselect	option	a	F	1	uncritical	некритичный	no crítico	non critique	غير ناقد
Q083	FT	wordselect	option	b	T	1	critical	критичный.	crítico	critique	ناقد
Q084	JP	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q084	JP	wordselect	option	a	J	1	punctual	пунктуальный	puntual	ponctuel	دقيق في المواعيد
Q084	JP	wordselect	option	b	P	1	free	свободный.	libre	libre	حر
Q085	NS	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q085	NS	wordselect	option	a	N	2	foundation	основание	base	base	قاعدة
Q085	NS	wordselect	option	b	S	0	peak	вершина.	cima	sommet	قمة
Q086	TF	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q086	TF	wordselect	option	a	T	2	cautious	осторожный	cauteloso	prudent	حذر
Q086	TF	wordselect	option	b	F	0	trusting	доверчивый.	confiado	confiant	ساذج
Q087	PJ	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q087	PJ	wordselect	option	a	P	0	changeable	переменчивый	variable	changeant	متقلب
Q087	PJ	wordselect	option	b	J	1	unchanging	неизменный.	inmutable	immuable	ثابت
Q088	NS	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q088	NS	wordselect	option	a	N	2	theory	теория	teoría	théorie	نظرية
Q088	NS	wordselect	option	b	S	0	practice	практика.	práctica	pratique	تطبيق
Q089	FT	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q089	FT	wordselect	option	a	F	1	to agree	соглашаться	estar de acuerdo	être d'accord	الموافقة
Q089	FT	wordselect	option	b	T	0	to debate	дискутировать.	debatir	débattre	النقاش
Q090	JP	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q090	JP	wordselect	option	a	J	2	disciplined	дисциплинированный	disciplinado	discipliné	منضبط
Q090	JP	wordselect	option	b	P	1	carefree	беспечный.	despreocupado	insouciant	لامبالٍ
Q091	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q091	SN	wordselect	option	a	S	1	sign	знак	señal	signe	إشارة
Q091	SN	wordselect	option	b	N	0	symbol	символ.	símbolo	symbole	رمز
Q092	PJ	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q092	PJ	wordselect	option	a	P	1	swift	стремительный	veloz	rapide	سريع
Q092	PJ	wordselect	option	b	J	0	thorough	тщательный.	minucioso	minutieux	دقيق
Q093	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q093	SN	wordselect	option	a	S	1	to accept	принимать	aceptar	accepter	القبول
Q093	SN	wordselect	option	b	N	0	to change	изменять.	cambiar	changer	التغيير
Q094	SN	wordselect	question				Which word from the pair do you prefer:	Какое слово из пары Вам больше нравится:	¿Cuál de las palabras del par prefiere:	Quel mot de la paire préférez-vous :	أي كلمة من الزوج تفضل:
Q094	SN	wordselect	option	a	S	1	known	известный	conocido	connu	معروف
Q094	SN	wordselect	option	b	N	1	unknown	неизвестный.	desconocido	inconnu	مجهول
